"","CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","DOI","ISSN","ISSUE","URL","ABSTRACT","ISBN","AUTHOR.1","JOURNAL.1","NOTE.1","PAGES.1","TITLE.1","VOLUME.1","YEAR.1","DOI.1","ISSN.1","URL.1"
"1","ARTICLE","Aneq20191",NA,NA,"Alex Sánchez-Pla, Miquel Salicrú, Jordi Ocaña",NA,NA,NA,NA,"NA",NA,NA,"BMC Bioinformatics",NA,"12","SGR2022: YES , PID: NO , HQ: 1 , IF: 3,242 , Firstauthor: YES , Lastauthor: YES , Bioinf: 1 , Stat_Prob: 0 ,  ,",NA,NA,"441",NA,NA,NA,"An equivalence approach to the integrative analysis of feature lists",NA,"20","2019","10.1186/s12859-019-3008-x","1471-2105","1","https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-019-3008-x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ARTICLE","AMou20202",NA,NA,"Alba Simats, Laura Ramiro, Teresa García-Berrocoso, Ferran Briansó, Ricardo Gonzalo, Luna Martín, Anna Sabé, Natalia Gill, Anna Penalba, Nuria Colomé, Alex Sánchez, Francesc Canals, Alejandro Bustamante, Anna Rosell, Joan Montaner",NA,NA,NA,NA,"NA",NA,NA,"Molecular & Cellular Proteomics",NA,"12","SGR2022: YES , PID: YES , HQ: 1 , IF: 5,911 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"1921-1936",NA,NA,NA,"A Mouse Brain-based Multi-omics Integrative Approach Reveals Potential Blood Biomarkers for Ischemic Stroke",NA,"19","2020","10.1074/mcp.RA120.002283","15359476","12","https://linkinghub.elsevier.com/retrieve/pii/S1535947620600032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ARTICLE","Apol20223",NA,NA,"Raúl González-Domínguez, Pol Castellano-Escuder, Sophie Lefèvre-Arbogast, Dorrain Y. Low, Andrea Du Preez, Silvie R. Ruigrok, Hyunah Lee, Catherine Helmer, Mercè Pall� s, Mireia Urpi-Sarda, Alex Sánchez-Pla, Aniko Korosi, Paul J. Lucassen, Ludwig Aigner, Claudine Manach, Sandrine Thuret, Cécilia Samieri, Cristina Andres-Lacueva",NA,NA,NA,NA,"NA",NA,NA,"Alzheimer's Research & Therapy",NA,"1","SGR2022: YES , PID: YES , HQ: 1 , IF: 6,982 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"1",NA,NA,NA,"Apolipoprotein E and sex modulate fatty acid metabolism in a prospective observational study of cognitive decline",NA,"14","2022","10.1186/s13195-021-00948-8","1758-9193","1","https://alzres.biomedcentral.com/articles/10.1186/s13195-021-00948-8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ARTICLE","Biom20164",NA,NA,"Sara Tulipani, Magali Palau-Rodriguez, Antonio Miñarro Alonso, Fernando Cardona, Anna Marco-Ramell, Bozo Zonja, Miren Lopez de Alda, Araceli Muñoz-Garach, Alejandro Sanchez-Pla, Francisco J Tinahones, Cristina Andres-Lacueva",NA,NA,NA,NA,"NA",NA,NA,"Clinica Chimica Acta",NA,"12","SGR2022: YES , PID: NO , HQ: 2 , IF: 2,873 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"53-61",NA,NA,NA,"Biomarkers of Morbid Obesity and Prediabetes by Metabolomic Profiling of Human Discordant Phenotypes",NA,"463","2016","10.1016/j.cca.2016.10.005","00098981",NA,"https://linkinghub.elsevier.com/retrieve/pii/S0009898116304028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ARTICLE","CD2620165",NA,NA,"María Teresa Julián, Núria Alonso, Roger Colobran, Alex Sánchez, Antoni Miñarro, Irma Pujol-Autonell, Jorge Carrascal, Silvia Rodríguez-Fernández, Rosa María Ampudia, Marta Vives-Pi, Manel Puig-Domingo",NA,NA,NA,NA,"NA",NA,NA,"Molecular and Cellular Endocrinology",NA,"5","SGR2022: YES , PID: NO , HQ: 2 , IF: 3,754 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"101-112",NA,NA,NA,"CD26/DPPIV inhibition alters the expression of immune response-related genes in the thymi of NOD mice",NA,"426","2016","10.1016/j.mce.2016.02.014","03037207",NA,"https://linkinghub.elsevier.com/retrieve/pii/S0303720716300417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ARTICLE","Char20186",NA,NA,"Magali Palau-Rodriguez, Sara Tulipani, Anna Marco-Ramell, Antonio Miñarro, Olga Jauregui, Raul Gonzalez-Dominguez, Alex Sanchez-Pla, Bruno Ramos-Molina, Francisco J. Tinahones, Cristina Andres-Lacueva",NA,NA,NA,NA,"NA",NA,NA,"Journal of Proteome Research",NA,"8","SGR2022: YES , PID: NO , HQ: 1 , IF: 3,78 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"2704-2714",NA,NA,NA,"Characterization of Metabolomic Profile Associated with Metabolic Improvement after Bariatric Surgery in Subjects with Morbid Obesity",NA,"17","2018","10.1021/acs.jproteome.8b00144","1535-3893","8","https://pubs.acs.org/doi/10.1021/acs.jproteome.8b00144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ARTICLE","Chit20207",NA,NA,"Clara Matute-Blanch, Laura Calvo-Barreiro, Iria Carballo-Carbajal, Ricardo Gonzalo, Alex Sanchez, Miquel Vila, Xavier Montalban, Manuel Comabella",NA,NA,NA,NA,"NA",NA,NA,"Scientific Reports",NA,"4","SGR2022: YES , PID: NO , HQ: 1 , IF: 4,379 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"7118",NA,NA,NA,"Chitinase 3-like 1 is neurotoxic in primary cultured neurons",NA,"10","2020","10.1038/s41598-020-64093-2","2045-2322","1","https://www.nature.com/articles/s41598-020-64093-2","<p> Chitinase 3-like 1 (CHI3L1) is known to play a role as prognostic biomarker in the early stages of multiple sclerosis (MS), and patients with high cerebrospinal fluid CHI3L1 levels have an increased risk for the development of neurological disability. Here, we investigated its potential neurotoxic effect by adding recombinant CHI3L1 <italic>in vitro</italic> to primary cultures of mouse cortical neurons and evaluating both neuronal functionality and survival by immunofluorescence. CHI3L1 induced a significant neurite length retraction after 24 and 48 hours of exposure and significantly reduced neuronal survival at 48 hours. The cytotoxic effect of CHI3L1 was neuron-specific and was not observed in mouse immune or other central nervous system cells. These results point to a selective neurotoxic effect of CHI3L1 <italic>in vitro</italic> and suggest a potential role of CHI3L1 as therapeutic target in MS patients. </p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ARTICLE","Circ20188",NA,NA,"Sunny Malhotra, Luisa M. Villar, Carme Costa, Luciana Midaglia, Marta Cubedo, Silvia Medina, Nicolás Fissolo, Jordi Río, Joaquín Castilló, José C. � lvarez-Cermeño, Alex Sánchez, Xavier Montalban, Manuel Comabella",NA,NA,NA,NA,"NA",NA,NA,"Journal of Neuroinflammation",NA,"12","SGR2022: YES , PID: NO , HQ: 1 , IF: 5,7 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"296",NA,NA,NA,"Circulating EZH2-positive T cells are decreased in multiple sclerosis patients",NA,"15","2018","10.1186/s12974-018-1336-9","1742-2094","1","https://jneuroinflammation.biomedcentral.com/articles/10.1186/s12974-018-1336-9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ARTICLE","Comp20189",NA,NA,"Juan Navarro-Barriuso, María José Mansilla, Mar Naranjo-Gómez, Alex Sánchez-Pla, Bibiana Quirant-Sánchez, Aina Teniente-Serra, Cristina Ramo-Tello, Eva M. Martínez-Cáceres",NA,NA,NA,NA,"NA",NA,NA,"Scientific Reports",NA,"10","SGR2022: YES , PID: NO , HQ: 1 , IF: 4,011 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"14985",NA,NA,NA,"Comparative transcriptomic profile of tolerogenic dendritic cells differentiated with vitamin D3, dexamethasone and rapamycin",NA,"8","2018","10.1038/s41598-018-33248-7","2045-2322","1","https://www.nature.com/articles/s41598-018-33248-7","<p> Tolerogenic dendritic cell (tolDC)-based therapies have become a promising approach for the treatment of autoimmune diseases by their potential ability to restore immune tolerance in an antigen-specific manner. However, the broad variety of protocols used to generate tolDC <italic>in vitro</italic> and their functional and phenotypical heterogeneity are evidencing the need to find robust biomarkers as a key point towards their translation into the clinic, as well as better understanding the mechanisms involved in the induction of immune tolerance. With that aim, in this study we have compared the transcriptomic profile of tolDC induced with either vitamin D3 (vitD3-tolDC), dexamethasone (dexa-tolDC) or rapamycin (rapa-tolDC) through a microarray analysis in 5 healthy donors. The results evidenced that common differentially expressed genes could not be found for the three different tolDC protocols. However, individually, <italic>CYP24A1</italic> , <italic>MUCL1</italic> and <italic>MAP7</italic> for vitD3-tolDC; <italic>CD163</italic> , <italic>CCL18</italic> , <italic>C1QB</italic> and <italic>C1QC</italic> for dexa-tolDC; and <italic>CNGA1</italic> and <italic>CYP7B1</italic> for rapa-tolDC, constituted good candidate biomarkers for each respective cellular product. In addition, a further gene set enrichment analysis of the data revealed that dexa-tolDC and vitD3-tolDC share several immune regulatory and anti-inflammatory pathways, while rapa-tolDC seem to be playing a totally different role towards tolerance induction through a strong immunosuppression of their cellular processes. </p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ARTICLE","CSFS202110",NA,NA,"Nicolás Fissolo, Clara Matute-Blanch, Mohamoud Osman, Carme Costa, Rucsanda Pinteac, Berta Miró, Alex Sanchez, Verónica Brito, Irena Dujmovic, Margarete Voortman, Michael Khalil, Eva Borr� s, Eduard Sabidó, Shohreh Issazadeh-Navikas, Xavier Montalban, Manuel Comabella Lopez",NA,NA,NA,NA,"NA",NA,NA,"Neurology - Neuroimmunology Neuroinflammation",NA,"3","SGR2022: YES , PID: YES , HQ: 1 , IF: 9,91 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"e941",NA,NA,NA,"CSF SERPINA3 Levels Are Elevated in Patients With Progressive MS",NA,"8","2021","10.1212/NXI.0000000000000941","2332-7812","2","http://nn.neurology.org/lookup/doi/10.1212/NXI.0000000000000941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
